OBJECTID_1	Ssec_Code_	pop	Sum_BA	Mean_BH	far	Area
265	210101	63421	238163.000000000000000	46.439252336448597	11.85738	932762.08439199999
266	210102	352456	1636590.000000000000000	42.315032679738565	10.41501	6649285.04110999964
267	210103	32487	343956.000000000000000	45.754385964912281	8.583161	1833531.32371999999
268	210104	90373	453125.000000000000000	40.719626168224302	8.777119	2102179.75094000017
269	210105	4829	15482.000000000000000	36.733333333333334	3.896353	145958.38889000000
270	210106	21564	102858.000000000000000	47.255319148936174	11.49897	422697.76506900002
271	210107	41343	181820.000000000000000	41.345238095238095	10.58701	710058.27451999998
272	210108	22202	153162.000000000000000	46.647058823529413	12.39816	576259.49423099996
273	210109	3924	37899.000000000000000	37.866666666666667	5.049644	284199.96004799998
274	210201	15585	272129.000000000000000	45.991935483870968	11.43548	1094465.19377000001
275	210202	12473	245023.000000000000000	53.353982300884958	12.54879	1041770.08545999997
276	210203	68393	539784.000000000000000	48.799227799227801	11.88215	2216857.48945999984
277	210204	18286	322889.000000000000000	46.777777777777779	10.86221	1390511.92429000000
278	210205	21141	364585.000000000000000	48.837696335078533	10.55298	1687247.45910000009
279	210206	142601	788033.000000000000000	46.110817941952504	11.01831	3297860.66147999978
280	210301	14661	176794.000000000000000	46.553191489361701	9.711013	847524.87888199999
281	210302	27567	806268.000000000000000	47.939240506329114	11.26977	3429694.97564999992
282	210303	6614	194648.000000000000000	47.310679611650485	10.19659	903137.81016400002
283	210304	2284	41627.000000000000000	51.260869565217391	11.02597	193528.23163299999
284	210305	9459	153801.000000000000000	45.893333333333331	10.83931	651189.20269199996
285	210306	10341	210841.000000000000000	43.410256410256409	7.669487	1193386.43787000002
286	210401	80607	387070.000000000000000	42.315508021390372	9.299644	1761256.90185000002
287	210402	33898	354097.000000000000000	38.467592592592595	6.171511	2207119.12050000019
288	210403	4995	588806.000000000000000	44.485714285714288	6.766446	3871080.35307999980
289	210404	21816	198575.000000000000000	48.862745098039213	9.380342	1034388.77309999999
290	210405	18314	108765.000000000000000	49.053571428571431	9.452744	564419.32530200004
291	210406	31231	168002.000000000000000	43.752941176470586	9.945513	739085.22131499997
292	210407	27587	127652.000000000000000	41.306451612903224	8.728277	604111.31314300001
293	210408	39370	228456.000000000000000	44.817391304347829	10.35687	988600.38657700003
294	210409	6929	64563.000000000000000	41.971428571428568	9.310458	291049.17880400002
295	210410	14024	235892.000000000000000	40.140845070422536	4.624071	2047741.98334000004
296	210411	6952	117471.000000000000000	33.724409448818896	.8468996	4677815.77773999982
297	210501	21958	85253.000000000000000	36.299999999999997	8.544208	362196.71886399999
298	210502	184398	878149.000000000000000	42.858744394618832	8.504626	4425398.93945000041
299	210503	274629	1022330.000000000000000	48.243801652892564	11.5711	4262438.61804000009
300	210504	195324	859590.000000000000000	53.011904761904759	12.33807	3693326.25511999987
303	210505	90540	336644.000000000000000	48.207547169811320	11.84421	1370186.63271000003
304	211508	97787	845677.000000000000000	38.991379310344826	6.383239	5165733.52137999982
305	210507	193182	808208.000000000000000	45.634408602150536	11.57038	3187628.94754000008
306	210601	54603	793027.000000000000000	52.157622739018088	12.31084	3359837.08985000011
307	210602	39425	339405.000000000000000	44.835365853658537	10.78062	1411546.83431000006
308	210603	272038	1197840.000000000000000	49.577661431064570	11.91868	4982605.55439000018
309	210701	36484	323793.000000000000000	49.378881987577643	11.48162	1392532.75049000001
310	210702	215523	751227.000000000000000	50.874285714285712	12.57794	3038506.11451000022
311	210703	115332	1011449.000000000000000	49.638339920948617	11.35365	4422071.27902000025
312	210704	90328	916466.000000000000000	41.064638783269963	7.335182	5130663.09148999956
313	210801	18087	299572.000000000000000	38.972413793103449	9.266882	1259867.57401000010
