OBJECTID_1	Ssec_Code_	jobs_weight_1	jobs_weight_2	jobs_weight_3	total_empl_shriaka	total_empl
265	210101	.0003759	.0001874	.0008207	6332.732	4575560
266	210102	.0026796	.0013359	.0058508	45143.5	4575560
267	210103	.0007389	.0003684	.0016133	12448.26	4575560
268	210104	.0008472	.0004223	.0018497	14272.17	4575560
269	210105	.0000588	.0000293	.0001284	990.9445	4575560
270	210106	.0001703	.0000849	.0003719	2869.791	4575560
271	210107	.0002861	.0001427	.0006248	4820.746	4575560
272	210108	.0002322	.0001158	.0005071	3912.356	4575560
273	210109	.0001145	.0000571	.0002501	1929.498	4575560
274	210201	.0002913	.0007106	.0012026	10086.71	4575560
275	210202	.0002773	.0006764	.0011447	9601.067	4575560
276	210203	.00059	.0014393	.0024359	20430.8	4575560
277	210204	.0003701	.0009028	.0015279	12815.11	4575560
278	210205	.0004491	.0010954	.001854	15549.86	4575560
279	210206	.0008777	.0021411	.0036238	30393.45	4575560
280	210301	.0001283	.0013047	.0010775	11486.88	4575560
281	210302	.0005192	.0052796	.0043605	46484.18	4575560
282	210303	.0001367	.0013903	.0011482	12240.63	4575560
283	210304	.0000293	.0002979	.000246	2622.974	4575560
284	210305	.0000986	.0010024	.0008279	8825.854	4575560
285	210306	.0001807	.0018371	.0015173	16174.49	4575560
286	210401	.0003081	.0002248	.00062	5275.051	4575560
287	210402	.0003861	.0002817	.0007769	6610.431	4575560
288	210403	.0006771	.0004941	.0013627	11594.08	4575560
289	210404	.0001809	.000132	.0003641	3098.045	4575560
290	210405	.0000987	.000072	.0001987	1690.464	4575560
291	210406	.0001293	.0000943	.0002602	2213.597	4575560
292	210407	.0001057	.0000771	.0002127	1809.343	4575560
293	210408	.0001729	.0001262	.000348	2960.907	4575560
294	210409	.0000509	.0000371	.0001025	871.7067	4575560
295	210410	.0003582	.0002614	.0007208	6133.089	4575560
296	210411	.0008182	.0005971	.0016467	14010.29	4575560
297	210501	.0000781	.0000664	.0003029	2047.172	4575560
298	210502	.000954	.0008113	.0037013	25012.8	4575560
299	210503	.0009189	.0007814	.003565	24091.73	4575560
300	210504	.0007962	.0006771	.003089	20875.05	4575560
303	210505	.0002954	.0002512	.001146	7744.434	4575560
304	211508	.0000337	.0000221	.0000845	641.5609	4575560
305	210507	.0006872	.0005844	.0026661	18016.8	4575560
306	210601	.0008735	.0008501	.0025575	19588.28	4575560
307	210602	.000367	.0003571	.0010745	8229.498	4575560
308	210603	.0012954	.0012607	.0037927	29049.23	4575560
309	210701	.0002243	.0003134	.0009314	6721.888	4575560
310	210702	.0004894	.0006838	.0020323	14667.16	4575560
311	210703	.0007123	.0009952	.0029577	21345.76	4575560
312	210704	.0008264	.0011547	.0034316	24766.2	4575560
313	210801	.0000658	.000067	.0002758	1869.992	4575560
314	210802	.002864	.0029164	.0120016	81362.63	4575560
315	210803	.0002356	.0002399	.0009874	6693.863	4575560
316	210804	.0003128	.0003186	.0013109	8887.241	4575560
317	210805	.0003715	.0003782	.0015566	10552.35	4575560
318	210806	.0001726	.0001757	.0007231	4901.972	4575560
319	210807	.0001385	.000141	.0005803	3933.949	4575560
320	210901	.0001539	.0001271	.0006328	4181.125	4575560
321	210902	.0000702	.000058	.0002886	1907.167	4575560
322	210903	.0001084	.0000895	.0004457	2945.122	4575560
323	210904	.0001095	.0000904	.0004504	2975.687	4575560
324	210905	.0004435	.0003662	.0018234	12047.94	4575560
325	210906	.0001742	.0001438	.0007161	4731.726	4575560
326	210907	.0001029	.000085	.0004231	2795.394	4575560
327	210908	.0001268	.0001047	.0005214	3444.803	4575560
328	210909	.0000522	.0000431	.0002146	1418.205	4575560
329	210910	.0001302	.0001075	.0005351	3535.858	4575560
330	210911	.0000458	.0000378	.0001883	1244.268	4575560
331	210912	.0000181	.000015	.0000746	492.7082	4575560
332	211001	.000786	.0004442	.0019306	14462.61	4575560
333	211002	.0002076	.0001173	.00051	3820.75	4575560
334	211003	.0003518	.0001988	.000864	6472.637	4575560
335	211101	.0001685	.0001479	.0006796	4557.571	4575560
336	211102	.0000675	.0000592	.0002722	1825.241	4575560
337	211103	.0000555	.0000487	.0002237	1500.008	4575560
338	211104	.0002394	.00021	.0009653	6473.037	4575560
339	211105	.0000741	.000065	.0002989	2004.133	4575560
340	211106	.0000602	.0000528	.0002428	1628.405	4575560
341	211107	.0000906	.0000795	.0003653	2449.411	4575560
